Video,Modelo,FPS_medio,Tempo_medio_ms,Confianca_media,TP,FP,FN,TN,Precisao,Recall,F1,Acuracia,Total_frames
noite,Deformable DETR,0.24,4122.69,0.7186,442,222,48,1,0.6657,0.902,0.766,0.6213,713
pedestres_cima,YOLOv8,7.1,140.82,0.8384,0,439,0,382,0.0,0.0,0.0,0.4653,821
pedestres_cima,SSD,12.42,80.5,0.6551,0,0,0,821,0.0,0.0,0.0,1.0,821
pedestres_cima,Faster R-CNN,0.62,1620.13,0.96,0,442,0,379,0.0,0.0,0.0,0.4616,821
pedestres_cima,RetinaNet,0.63,1577.18,0.8883,0,435,0,386,0.0,0.0,0.0,0.4702,821
pedestres_cima,FCOS,0.71,1409.29,0.8218,0,442,0,379,0.0,0.0,0.0,0.4616,821
pedestres_cima,EfficientDet,6.82,146.6,0.7073,0,390,0,431,0.0,0.0,0.0,0.525,821
pedestres_cima,DETR,1.09,916.69,0.9693,0,425,0,396,0.0,0.0,0.0,0.4823,821
pedestres_cima,RT-DETR,1.87,533.63,0.8953,0,441,0,380,0.0,0.0,0.0,0.4629,821
pedestres_cima,Conditional DETR,0.97,1029.82,0.8587,0,439,0,382,0.0,0.0,0.0,0.4653,821
pedestres_cima,Deformable DETR,0.25,4026.85,0.8639,0,438,0,383,0.0,0.0,0.0,0.4665,821
